Name,Popular__c
Abohar,FALSE
Adilabad,FALSE
Agartala,FALSE
Agra,FALSE
Ahmadnagar,FALSE
Ahmedabad,TRUE
Aizawl  ,FALSE
Ajmer,FALSE
Akola,FALSE
Alappuzha,FALSE
Aligarh,FALSE
Alipurduar,FALSE
Allahabad,FALSE
Alwar,FALSE
Ambala,FALSE
Amaravati,FALSE
Amritsar,FALSE
Asansol,FALSE
Aurangabad,FALSE
Bakshpur,FALSE
Bamanpuri,FALSE
Baramula,FALSE
Barddhaman,FALSE
Bareilly,FALSE
Belgaum,FALSE
Bellary,FALSE
Bengaluru,TRUE
Bhagalpur,FALSE
Bharatpur,FALSE
Bharauri,FALSE
Bhatpara,FALSE
Bhavnagar,FALSE
Bhilai,FALSE
Bhilwara,FALSE
Bhiwandi,FALSE
Bhiwani,FALSE
Bhopal ,FALSE
Bhubaneshwar,FALSE
Bhuj,FALSE
Bhusaval,FALSE
Bidar,FALSE
Bijapur,FALSE
Bikaner,FALSE
Bilaspur,FALSE
Brahmapur,FALSE
Budaun,FALSE
Bulandshahr,FALSE
Calicut,FALSE
Chanda,FALSE
Chandigarh ,TRUE
Chennai,TRUE
Chikka Mandya,FALSE
Chirala,FALSE
Coimbatore,FALSE
Cuddalore,FALSE
Cuttack,FALSE
Daman,FALSE
Davangere,FALSE
DehraDun,FALSE
Delhi/NCR,TRUE
Dhanbad,FALSE
Dibrugarh,FALSE
Dindigul,FALSE
Dispur,FALSE
Diu,FALSE
Faridabad,FALSE
Firozabad,FALSE
Fyzabad,FALSE
Gangtok,FALSE
Gaya,FALSE
Ghandinagar,FALSE
Ghaziabad,FALSE
Gopalpur,FALSE
Gulbarga,FALSE
Guntur,FALSE
Gurugram,FALSE
Guwahati,FALSE
Gwalior,FALSE
Haldia,FALSE
Haora,FALSE
Hapur,FALSE
Haripur,FALSE
Hata,FALSE
Hindupur,FALSE
Hisar,FALSE
Hospet,FALSE
Hubli,FALSE
Hyderabad,TRUE
Imphal,FALSE
Indore,FALSE
Itanagar,FALSE
Jabalpur,FALSE
Jaipur,TRUE
Jammu,FALSE
Jamshedpur,FALSE
Jhansi,FALSE
Jodhpur,FALSE
Jorhat,FALSE
Kagaznagar,FALSE
Kakinada,FALSE
Kalyan,FALSE
Karimnagar,FALSE
Karnal,FALSE
Karur,FALSE
Kavaratti,FALSE
Khammam,FALSE
Khanapur,FALSE
Kochi,FALSE
Kohima,FALSE
Kolar,FALSE
Kolhapur,FALSE
Kolkata ,TRUE
Kollam,FALSE
Kota,FALSE
Krishnanagar,FALSE
Krishnapuram,FALSE
Kumbakonam,FALSE
Kurnool,FALSE
Latur,FALSE
Lucknow,TRUE
Ludhiana,FALSE
Machilipatnam,FALSE
Madurai,FALSE
Mahabubnagar,FALSE
Malegaon Camp,FALSE
Mangalore,FALSE
Mathura,FALSE
Meerut,FALSE
Mirzapur,FALSE
Moradabad,FALSE
Mumbai,TRUE
Muzaffarnagar,FALSE
Muzaffarpur,FALSE
Mysore,FALSE
Nagercoil,FALSE
Nalgonda,FALSE
Nanded,FALSE
Nandyal,FALSE
Nasik,FALSE
Navsari,FALSE
Nellore,FALSE
Nizamabad,FALSE
Ongole,FALSE
Pali,FALSE
Panaji,FALSE
Panchkula,FALSE
Panipat,FALSE
Parbhani,FALSE
Pathankot,FALSE
Patiala,FALSE
Patna,FALSE
Pilibhit,FALSE
Porbandar,FALSE
Port Blair,FALSE
Proddatur,FALSE
Puducherry,FALSE
Pune,TRUE
Puri,FALSE
Purnea,FALSE
Raichur,FALSE
Raipur,FALSE
Rajahmundry,FALSE
Rajapalaiyam,FALSE
Rajkot,FALSE
Ramagundam,FALSE
Rampura,FALSE
Ranchi,FALSE
Ratlam,FALSE
Raurkela,FALSE
Rohtak,FALSE
Saharanpur,FALSE
Saidapur,FALSE
Saidpur,FALSE
Salem,FALSE
Samlaipadar,FALSE
Sangli,FALSE
Saugor,FALSE
Shahbazpur,FALSE
Shiliguri,FALSE
Shillong ,FALSE
Shimla,FALSE
Shimoga,FALSE
Sikar,FALSE
Silchar,FALSE
Silvassa,FALSE
Sirsa,FALSE
Sonipat,FALSE
Srinagar,FALSE
Surat,FALSE
Tezpur,FALSE
Thanjavur,FALSE
Tharati Etawah,FALSE
Thiruvananthapuram,FALSE
Tiruchchirappalli,FALSE
Tirunelveli,FALSE
Tirupati,FALSE
Tiruvannamalai,FALSE
Tonk,FALSE
Tuticorin,FALSE
Udaipur,FALSE
Ujjain,FALSE
Vadodara,FALSE
Valparai,FALSE
Vizag,TRUE
Vijayawada,TRUE
Varanasi,FALSE
Vellore,FALSE
Vishakhapatnam,FALSE
Vizianagaram,FALSE
Warangal,FALSE
Jorapokhar,FALSE
Brajrajnagar,FALSE
Talcher,FALSE
